date,close_aapl,high_aapl,low_aapl,open_aapl,volume_aapl
2024-02-12,-0.9964454261730844,-1.0067049176071903,-0.9439293115422338,-0.943912989678747,-0.6804590637437705
2024-02-13,-1.0791841302585126,-1.1028417665173351,-1.0746739494676223,-1.0483148899078256,0.13495377194261252
2024-02-14,-1.114083716019403,-1.1294168404001272,-1.1173253955661835,-1.066043621234336,0.029955740061598575
2024-02-15,-1.1254548021763155,-1.1700598180864432,-1.1607737585148166,-1.1357765879925525,0.6273221099628491
2024-02-16,-1.1862358577351124,-1.1559916786467725,-1.148019270951094,-1.1408992705867862,-0.24258022568074258
2024-02-20,-1.2156449793209525,-1.2505662446238512,-1.214587117583754,-1.2051164428338885,-0.023394760708275234
2024-02-21,-1.1858432952576892,-1.2325895370399933,-1.1882790088866952,-1.1992070442881668,-0.6944035101052195
2024-02-22,-1.1054575613661894,-1.1516931235752588,-1.1165287479109325,-1.1385358455238894,-0.09933172594544457
2024-02-23,-1.1779998608887101,-1.1485658761906499,-1.1256959621110751,-1.0782566912321319,-0.4959080206619125
2024-02-26,-1.2313306457236044,-1.2376703517616479,-1.1886781812291276,-1.1873879050370668,-0.731022886890262
2024-02-27,-1.1736870841459297,-1.192336451357522,-1.23212649765162,-1.2323003389889788,0.012726995072591757
2024-02-28,-1.2211348423283501,-1.223600720911655,-1.209405013396749,-1.1767504142670258,-0.28391041463864564
2024-02-29,-1.2474076722683738,-1.2450946973054107,-1.2333223095301156,-1.2256028898316338,2.506561015988324
2024-03-01,-1.2901500912305903,-1.3248195443617798,-1.3190244955638064,-1.2933667133300226,1.0726099718658222
2024-03-04,-1.468960796777823,-1.4666813799563172,-1.4621270369575452,-1.4273175436112666,1.5161616893764498
2024-03-05,-1.6642416925149017,-1.6566121982273834,-1.628348869333443,-1.639668820583402,2.2693553121740995
2024-03-06,-1.6963963467720935,-1.6878760644530655,-1.6658186745681403,-1.6278495087899405,0.8016663933368423
2024-03-07,-1.6963963467720935,-1.7078080468654833,-1.6733924122768011,-1.6948645524749524,0.9773487242998407
2024-03-08,-1.6403218327688065,-1.591738610835986,-1.6554544005455627,-1.6948645524749524,1.2178378973732846
2024-03-11,-1.561111381638965,-1.565163514788066,-1.5314853468266671,-1.553782391505546,0.3345550858396427
2024-03-12,-1.5422900247581497,-1.578842605701244,-1.572942240665252,-1.5455099992293075,0.3171881127939205
2024-03-13,-1.6246361663661546,-1.6116692951733351,-1.5829068561540096,-1.5604798282910222,-0.08846700068761452
2024-03-14,-1.551308140721134,-1.5678994322380373,-1.5314853477061932,-1.5549642631016145,1.0408451644326244
2024-03-15,-1.5662092833365922,-1.6339454837508398,-1.601641816127115,-1.6235157943111531,2.506561015988324
2024-03-18,-1.5230749030646051,-1.4350257500900194,-1.4728891969943692,-1.4501674660687605,1.1896172573142696
2024-03-19,-1.43053175572604,-1.4780139417697336,-1.4924209767896635,-1.4986260490630223,0.06228451796619513
2024-03-20,-1.3289710935921437,-1.3975091219111757,-1.4103073773319907,-1.4442583636214419,-0.036802882209668535
2024-03-21,-1.6152260890934,-1.443623984181895,-1.5797185322175205,-1.3918601347534048,2.506561015988324
2024-03-22,-1.5795419795453156,-1.6171410188251685,-1.6108101991810095,-1.600271967060712,0.9409394541610057
2024-03-25,-1.6356158923809496,-1.6605199806858244,-1.6351253309224327,-1.6471538983431209,0.011035083658395324
2024-03-26,-1.6803187190596711,-1.6808420419861296,-1.629943224899197,-1.6696107132544735,0.1824434031077536
2024-03-27,-1.5391525307770275,-1.5956465196555718,-1.6088168650374597,-1.6534578079907296,0.34195305143505067
2024-03-28,-1.6109127111829666,-1.6491874989398343,-1.592872937176536,-1.600665965429942,0.640492479206692
2024-04-01,-1.6677705466381414,-1.687485308264206,-1.6339292687587412,-1.622727500410688,-0.43393761827526667
2024-04-02,-1.6963963467720935,-1.7086870852215736,-1.6759035709245287,-1.6948645524749524,-0.2631430313977247
2024-04-03,-1.6826716892535996,-1.7086870852215736,-1.6698043054449803,-1.6948645524749524,-0.3536989959131142
